 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB170304003    0.160 3.1497e-07    1.4268e-08    1.3465e-07          7.2636e-09 
 GRB240404110    0.704 1.9106e-07    1.3671e-08    1.2372e-07          7.2639e-09 
 GRB151229285    3.456 1.1088e-06    1.5782e-08    5.8413e-07          7.2644e-09 
 GRB180204109    1.152 1.7465e-06    1.2647e-08    8.5463e-07          7.2915e-09 
 GRB220520876    1.280 2.1076e-07    1.2489e-08    1.2725e-07          7.3007e-09 
 GRB170911267   19.968 8.9367e-07    1.3466e-08    4.9643e-07          7.3064e-09 
 GRB230418883    0.256 2.3673e-06    1.2482e-08    6.1120e-07          7.3192e-09 
 GRB200306934    0.992 9.2539e-08    1.4799e-08    5.2232e-08          7.3419e-09 
 GRB110124784    5.376 1.5890e-07    1.3576e-08    8.7327e-08          7.3467e-09 
 GRB220903125    6.400 1.2175e-06    1.3421e-08    4.9959e-07          7.3817e-09 
 GRB111022854    0.192 1.2600e-07    1.2141e-08    9.8958e-08          7.3985e-09 
 GRB220711279    1.472 4.4716e-07    1.1653e-08    2.2204e-07          7.4192e-09 
 GRB121116459    0.832 4.9152e-07    1.3754e-08    1.7149e-07          7.4340e-09 
 GRB241115554    3.072 1.6033e-06    1.3657e-08    9.7524e-07          7.4460e-09 
 GRB160818198    6.400 1.6843e-06    1.3638e-08    8.9285e-07          7.4741e-09 
 GRB230512269    2.624 1.0995e-05    1.4443e-08    3.2679e-06          7.5050e-09 
 GRB211222768    1.024 1.2578e-07    1.4657e-08    7.9023e-08          7.5110e-09 
 GRB190427190    0.368 5.3434e-07    1.2241e-08    2.7122e-07          7.5137e-09 
 GRB180602938    0.008 2.0878e-07    1.4845e-08    1.1738e-07          7.5185e-09 
 GRB220620016    0.064 1.1817e-07    1.2940e-08    4.6467e-08          7.5247e-09 
 GRB200501435    1.536 6.4673e-07    1.6228e-08    3.1200e-07          7.5340e-09 
 GRB231123832    0.448 1.1397e-07    1.3892e-08    7.8346e-08          7.5424e-09 
 GRB120822628    1.536 1.0853e-07    1.6999e-08    6.4223e-08          7.5605e-09 
 GRB190622368   31.744 1.8138e-06    1.4222e-08    8.1806e-07          7.5908e-09 
 GRB160826938    1.792 2.9765e-07    1.4262e-08    1.6386e-07          7.6245e-09 
 GRB131006367    0.128 1.2686e-07    1.4835e-08    4.9358e-08          7.6420e-09 
 GRB110509475    0.640 5.2569e-07    1.4622e-08    2.3882e-07          7.6479e-09 
 GRB200130417   11.293 1.1459e-05    1.4010e-08    7.1628e-06          7.6506e-09 
 GRB200416295    9.344 1.6631e-06    1.4086e-08    9.0181e-07          7.6549e-09 
 GRB170915520    0.640 5.1357e-07    1.5163e-08    2.1961e-07          7.6581e-09 
 GRB120101354    0.128 1.0925e-07    1.3869e-08    8.7641e-08          7.6592e-09 
 GRB150912600    0.320 2.9364e-07    1.3236e-08    1.6368e-07          7.6747e-09 
 GRB140720158    0.320 1.9970e-07    1.2266e-08    7.2521e-08          7.6914e-09 
 GRB100717446    2.432 3.3283e-07    1.4436e-08    1.7794e-07          7.6962e-09 
 GRB170125102    0.672 1.0424e-07    1.4015e-08    7.0217e-08          7.6985e-09 
 GRB181121307    0.256 1.0441e-07    1.3999e-08    4.9272e-08          7.7042e-09 
 GRB200915144    1.536 9.4676e-08    1.3349e-08    4.9602e-08          7.7064e-09 
 GRB090108322    0.192 5.3623e-07    1.4059e-08    1.8341e-07          7.7168e-09 
 GRB240328515    0.448 1.5361e-08    1.3151e-08    9.8984e-09          7.7230e-09 
 GRB100516369    2.112 1.8798e-07    1.2836e-08    1.1128e-07          7.7361e-09 
 GRB081230871    0.512 1.8087e-07    1.6004e-08    9.1363e-08          7.7363e-09 
 GRB200714344    0.960 1.0982e-06    1.4213e-08    5.4066e-07          7.7559e-09 
 GRB121008424    3.456 3.9179e-07    1.0909e-08    2.3890e-07          7.7583e-09 
 GRB150101641    0.080 2.3809e-07    1.5091e-08    8.8063e-08          7.7762e-09 
 GRB180618030    3.712 1.2294e-06    1.4020e-08    6.1151e-07          7.7819e-09 
 GRB180206203    0.448 3.3196e-07    1.5270e-08    2.2451e-07          7.7988e-09 
 GRB191028589   34.305 2.0311e-06    1.5744e-08    1.1114e-06          7.8015e-09 
 GRB220912963    2.496 1.1145e-07    1.4400e-08    6.0368e-08          7.8053e-09 
 GRB141102112    0.016 7.3632e-08    1.3966e-08    3.0771e-08          7.8057e-09 
 GRB140724533    0.896 1.2694e-07    1.3886e-08    8.2537e-08          7.8062e-09 
 GRB090412061    0.896 1.2463e-07    1.3569e-08    7.3617e-08          7.8315e-09 
 GRB160714097    0.320 1.1169e-07    1.4801e-08    7.1633e-08          7.8794e-09 
 GRB240417782    1.024 1.0891e-07    1.4582e-08    6.1541e-08          7.8843e-09 
 GRB170825500    7.168 6.5062e-06    1.4159e-08    3.1148e-06          7.8899e-09 
 GRB200923748    0.640 1.9181e-07    1.8010e-08    7.6079e-08          7.8927e-09 
 GRB140807500    0.512 1.2865e-06    1.4394e-08    5.0883e-07          7.8955e-09 
 GRB091017861    2.624 4.4970e-07    1.3744e-08    2.3835e-07          7.8971e-09 
 GRB150923864    1.792 1.5772e-06    1.4473e-08    1.0680e-06          7.9276e-09 
 GRB240727994   11.773 4.0138e-06    1.4273e-08    1.5829e-06          7.9526e-09 
 GRB210226197   18.880 2.4903e-06    2.1454e-08    1.4464e-06          7.9539e-09 
 GRB120524134    0.704 2.5274e-07    1.5086e-08    1.2717e-07          7.9614e-09 
 GRB210501940    0.832 6.8464e-07    1.8888e-08    2.7643e-07          7.9628e-09 
 GRB090608052   21.504 1.2448e-06    1.7538e-08    6.1632e-07          7.9793e-09 
 GRB200317028    7.616 4.6594e-06    1.3885e-08    2.5592e-06          7.9850e-09 
 GRB170430204    0.384 1.2047e-07    1.7563e-08    7.6097e-08          7.9915e-09 
 GRB141128962    0.272 1.7603e-07    1.5132e-08    1.1264e-07          8.0065e-09 
 GRB201109105    0.448 9.2207e-07    1.5041e-08    4.8664e-07          8.0163e-09 
 GRB170222209    1.664 3.1571e-06    1.4502e-08    1.2277e-06          8.0279e-09 
 GRB170606968   11.264 4.7420e-06    1.4710e-08    2.5486e-06          8.0325e-09 
 GRB160612842    0.288 9.0991e-07    1.5460e-08    3.1589e-07          8.0476e-09 
 GRB171011810    0.480 1.0383e-07    1.4495e-08    3.8228e-08          8.0639e-09 
 GRB090225009    2.176 1.5352e-07    1.5160e-08    7.2204e-08          8.0982e-09 
 GRB170203486    0.336 1.2526e-07    1.5887e-08    7.1231e-08          8.1118e-09 
 GRB170302166    3.840 5.6714e-07    1.6576e-08    2.6901e-07          8.1248e-09 
 GRB100517072   55.808 6.5888e-06    1.7362e-08    3.1526e-06          8.1609e-09 
 GRB090617208    0.192 9.4269e-07    1.6608e-08    3.5905e-07          8.1730e-09 
