name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB090926181  13.760    0.286   7.4432e-05         1.7925e-07        43.1006               0.3687      48.5334             1.5612
GRB220518717   3.840    0.923   1.9515e-07         6.0161e-09         0.7394               0.0797       1.3192             0.3543
GRB150628767   0.640    0.634   1.5831e-07         6.2569e-09         0.7806               0.0733       3.0745             0.5858
GRB220124074  53.760   11.406   1.6444e-06         4.0363e-08         0.8036               0.0952       1.6565             0.4167
GRB200317028   7.616    0.529   2.5592e-06         7.9850e-09         5.5975               0.1266       6.8258             0.5444
GRB210822273  18.624    1.145   3.3549e-06         1.2274e-08         4.9300               0.1646       7.3250             0.7208
GRB210211363  28.673    6.607   5.8721e-07         1.7044e-08         0.9447               0.0904       1.5140             0.3803
GRB120919816  20.480    1.305   6.0588e-07         9.7447e-09         0.7573               0.0792       1.7695             0.4263
GRB180723757  19.712    0.572   2.4066e-05         3.7453e-08        17.4693               0.3648      19.6439             1.5815
GRB200130248  56.577    3.114   3.3865e-06         1.6707e-08         2.0184               0.1236       2.9556             0.5224
GRB101011707  36.352    2.318   1.4475e-06         4.6334e-08         0.6516               0.1266       2.2068             0.6955
GRB240112541  15.616    1.086   1.7185e-06         2.8001e-08         1.6213               0.2007       3.9552             1.0720
GRB220725244   0.512    0.580   6.2555e-08         9.0400e-09         0.4655               0.0771       4.0611             0.6738
GRB230707782  99.586    0.724   2.5747e-05         2.4148e-08         2.3449               0.1176       3.5364             0.4842
GRB090625560  13.056    1.145   1.4577e-06         3.9596e-08         1.3568               0.1549       3.1334             0.8042
GRB160303971  27.136    6.987   7.7793e-07         1.9905e-08         0.7274               0.0789       1.7284             0.4130
GRB120426090   2.688    0.091   1.3835e-05         1.1971e-08        38.1675               0.4368      43.7121             1.8532
GRB130727698  12.992    0.871   4.5820e-06         3.4006e-08         4.0356               0.2056       6.0480             0.9463
GRB101023951  76.801    8.256   3.2962e-05         3.0852e-07        16.2292               0.5108      18.5693             1.9277
GRB170827818   0.832    0.405   2.2236e-07         6.5111e-09         1.0980               0.0805       3.8590             0.5680
GRB161105417  41.473    1.086   5.1429e-06         1.9722e-08         3.6664               0.1305       5.0430             0.6285
GRB230715190 135.938    9.273   1.9742e-05         6.9279e-08         2.6512               0.1078       3.9595             0.4805
GRB201217108  37.121    2.673   3.0608e-06         2.0844e-08         1.5888               0.1048       3.1062             0.5373
GRB170210116  76.545    1.379   4.5815e-05         2.4643e-08        15.3529               0.3175      22.8715             1.5636
GRB210228277  42.753    1.379   5.5628e-06         1.7476e-08         2.6741               0.1010       3.4602             0.4207
GRB090924625   0.352    0.101   1.7146e-07         6.8620e-09         0.8039               0.1473       4.7910             0.8247
GRB090602564  20.736    7.209   1.1527e-06         2.7867e-08         0.5143               0.0766       1.1033             0.5705
GRB180528371  16.896    2.919   3.7043e-07         1.9636e-08         0.8347               0.0882       1.4377             0.3722
GRB110411629  23.552    1.950   2.0272e-06         3.8863e-08         1.1904               0.1252       3.1535             0.8285
GRB210317381  46.337    1.864   1.1072e-05         1.1434e-07         6.1432               0.3732       8.5985             1.6258
GRB150826557  33.024    1.846   2.0908e-06         1.9100e-08         1.2111               0.1006       2.2997             0.5410
GRB230316546  30.913    1.280   4.7174e-06         2.0772e-08         2.1750               0.1194       3.2388             0.5525
GRB190903722   0.272    0.322   2.1055e-07         4.0906e-09         1.3738               0.1145       8.8627             0.9794
GRB190804058   4.224    0.516   2.3904e-07         8.4680e-09         0.9980               0.1127       4.1845             0.9913
GRB200105914  16.896    2.919   1.7357e-06         3.1547e-08         1.3589               0.1226       2.4685             0.6016
GRB120921877   5.632    1.145   1.6248e-06         1.7009e-08         5.3054               0.1874       7.3015             0.8263
